id,tipo,ano_registo,caixa,potencia,km,combustivel,marca,com_danos,preco
26713,limousine,2014,manual,140,40800,gasolina,outra,nao,14200
49553,limousine,2013,manual,184,30300,diesel,bmw,nao,25840
9007,coupe,2009,manual,177,150900,diesel,bmw,nao,9990
21152,compacto,2006,manual,54,150500,gasolina,volkswagen,nao,3250
37819,limousine,2015,manual,150,40600,diesel,volkswagen,nao,16939
47700,limousine,2002,manual,179,150000,gasolina,audi,nao,3820
1246,kombi,2014,manual,110,60300,diesel,opel,nao,11950
46110,compacto,2006,manual,43,125600,gasolina,outra,nao,1920
47496,kombi,2011,manual,125,70400,gasolina,audi,nao,10580
78,limousine,2009,automatica,116,125800,gasolina,opel,nao,5900
3555,kombi,2010,manual,160,100700,gasolina,audi,nao,15580
81679,compacto,2008,manual,68,150400,diesel,outra,nao,3160
12414,limousine,2000,manual,116,125700,gasolina,volkswagen,nao,1880
60448,limousine,2004,automatica,193,150300,diesel,bmw,nao,8070
70948,carrinha,2008,manual,140,151000,diesel,volkswagen,nao,8010
23112,limousine,2009,manual,101,80800,gasolina,ford,nao,7905
1875,kombi,2005,automatica,218,126000,gasolina,mercedes_benz,nao,8049
76611,suv,2006,automatica,340,150400,gasolina,outra,nao,9000
33371,compacto,2013,manual,69,20000,gasolina,volkswagen,nao,10970
94383,compacto,2004,manual,60,150100,diesel,volkswagen,nao,1940
3384,compacto,2002,automatica,61,125400,diesel,audi,nao,5500
74015,limousine,2002,manual,150,150400,gasolina,bmw,nao,1860
84567,carrinha,2005,automatica,150,150500,diesel,mercedes_benz,nao,6039
74251,compacto,2002,automatica,60,150500,gasolina,volkswagen,nao,2110
24741,cabrio,2009,manual,143,40200,gasolina,bmw,nao,15490
72166,carrinha,2002,automatica,116,151000,diesel,volkswagen,nao,4070
79062,limousine,2002,manual,105,150100,gasolina,volkswagen,nao,2040
86831,coupe,2010,automatica,231,125400,diesel,mercedes_benz,nao,20590
53818,carrinha,2005,manual,136,150700,diesel,volkswagen,nao,4520
62152,limousine,2006,manual,105,150700,diesel,volkswagen,nao,5230
5586,compacto,2000,manual,54,150600,gasolina,opel,sim,560
13254,kombi,2003,automatica,170,150800,gasolina,audi,nao,4660
16104,limousine,2000,manual,110,150900,diesel,volkswagen,nao,4020
71051,limousine,2006,manual,150,150600,gasolina,outra,nao,4900
68171,limousine,2010,manual,90,30500,gasolina,outra,nao,3080
75730,limousine,2001,manual,114,150500,gasolina,outra,nao,1009
21741,kombi,2008,manual,130,150000,diesel,outra,nao,5340
83684,compacto,2011,manual,135,50200,gasolina,fiat,nao,9519
4198,compacto,2002,manual,60,150200,gasolina,volkswagen,nao,1750
20816,cabrio,2005,manual,113,100800,gasolina,renault,sim,3709
47469,limousine,2004,manual,122,150200,gasolina,outra,sim,780
92838,kombi,2007,manual,150,150600,gasolina,bmw,nao,7282
49168,limousine,2011,manual,90,125600,diesel,outra,nao,8030
2836,compacto,2001,manual,69,150300,diesel,peugeot,nao,880
24283,kombi,2004,manual,143,150100,gasolina,bmw,nao,2640
51487,compacto,2002,manual,58,150500,gasolina,renault,sim,869
921,coupe,2004,manual,143,150300,gasolina,outra,nao,3079
79385,compacto,2005,manual,68,151000,diesel,outra,nao,1540
9563,cabrio,2016,manual,69,5900,gasolina,fiat,nao,11560
52412,compacto,2005,manual,50,150900,gasolina,volkswagen,nao,2240
79704,limousine,2007,manual,102,150100,diesel,outra,nao,3040
33376,kombi,2004,automatica,150,125800,diesel,bmw,nao,6370
73253,compacto,2004,automatica,60,150000,gasolina,opel,sim,1020
81783,coupe,2008,automatica,387,150700,gasolina,mercedes_benz,nao,27020
87231,carrinha,2005,manual,140,150800,diesel,outra,nao,3370
37330,limousine,2010,manual,140,150000,diesel,volkswagen,nao,8360
54708,cabrio,2002,manual,54,125000,gasolina,outra,nao,2120
85912,limousine,2006,manual,75,100700,gasolina,volkswagen,nao,4040
14655,carrinha,2007,manual,111,126000,gasolina,renault,nao,3569
73760,limousine,2007,manual,177,150500,diesel,bmw,nao,14020
87065,kombi,2014,automatica,204,100700,diesel,audi,sim,18810
26202,compacto,2008,automatica,84,125400,gasolina,outra,nao,4040
31130,suv,2012,automatica,286,125300,diesel,bmw,nao,23960
93794,carrinha,2007,manual,110,150900,diesel,fiat,nao,5000
94124,suv,2007,manual,150,125600,gasolina,ford,sim,4920
13373,limousine,2016,manual,125,20600,gasolina,audi,nao,20200
33755,compacto,2001,manual,58,151000,gasolina,opel,nao,819
75855,kombi,2006,manual,147,150900,gasolina,outra,nao,4450
60058,limousine,2010,manual,145,150700,diesel,outra,nao,6360
12010,kombi,2004,manual,122,150100,gasolina,opel,nao,4089
49037,limousine,2005,manual,170,150300,gasolina,outra,nao,4690
66077,kombi,2000,manual,60,150500,outro,outra,sim,610
66421,kombi,2004,manual,75,150300,gasolina,outra,nao,2820
93626,kombi,2014,automatica,143,150100,diesel,bmw,nao,13709
64092,limousine,2005,manual,120,150300,diesel,opel,nao,3110
51433,cabrio,2016,manual,136,5700,gasolina,bmw,nao,30069
73733,carrinha,2003,manual,116,150300,diesel,volkswagen,nao,3540
83736,compacto,2008,manual,87,150900,gasolina,outra,nao,3730
21014,kombi,2002,manual,101,150300,gasolina,ford,nao,849
43543,limousine,2005,automatica,163,150000,diesel,bmw,nao,6250
61020,compacto,2009,manual,69,101000,gasolina,volkswagen,nao,4760
27864,compacto,2004,manual,75,125800,diesel,volkswagen,nao,2420
70647,limousine,2001,manual,204,150400,outro,volkswagen,nao,6009
62008,compacto,2010,manual,69,70300,gasolina,fiat,nao,6059
11187,kombi,2006,manual,150,150300,diesel,bmw,nao,2870
5965,carrinha,2006,manual,101,150600,diesel,renault,nao,4580
52154,kombi,2007,automatica,185,150500,diesel,outra,nao,5780
51224,compacto,2004,manual,55,150800,gasolina,outra,sim,700
77355,limousine,2008,manual,177,150000,diesel,bmw,nao,7509
38619,limousine,2005,manual,141,91000,gasolina,outra,nao,5460
2659,kombi,2003,automatica,500,150600,outro,audi,nao,11520
42425,coupe,2001,manual,193,150600,gasolina,bmw,nao,6250
84515,compacto,2005,manual,60,90900,gasolina,peugeot,sim,1029
58681,kombi,2005,manual,102,125000,gasolina,outra,nao,4500
38213,limousine,2010,manual,140,150300,diesel,volkswagen,nao,9340
30237,compacto,2006,manual,155,150000,diesel,outra,nao,1040
34252,limousine,2009,automatica,143,125100,gasolina,bmw,nao,11469
47507,kombi,2010,manual,110,125600,diesel,volkswagen,nao,8090
4799,limousine,2008,automatica,232,150400,diesel,audi,nao,14960
76422,limousine,2011,manual,105,125700,diesel,volkswagen,sim,7300
53133,limousine,2008,automatica,140,150600,diesel,volkswagen,nao,10229
59468,limousine,2010,manual,80,70300,gasolina,volkswagen,sim,2089
98728,limousine,2005,automatica,170,100000,gasolina,bmw,nao,5060
33888,limousine,2011,automatica,245,100300,diesel,bmw,nao,24090
28626,kombi,2011,manual,109,125700,outro,volkswagen,nao,8769
14396,limousine,2005,manual,131,150900,diesel,audi,nao,2630
12571,compacto,2011,automatica,71,70400,gasolina,outra,nao,5100
56825,limousine,2002,manual,90,150800,diesel,ford,nao,1509
89220,coupe,2010,manual,160,150300,gasolina,volkswagen,sim,11220
70817,compacto,2010,manual,77,100800,gasolina,fiat,sim,2640
86227,kombi,2003,manual,131,150100,diesel,ford,sim,680
57990,compacto,2010,manual,69,30500,gasolina,fiat,nao,6490
62895,cabrio,2006,manual,103,125200,gasolina,opel,nao,4470
3034,compacto,2006,manual,80,150300,gasolina,opel,nao,2990
5560,limousine,2005,manual,101,150700,diesel,opel,nao,2780
87174,limousine,2005,automatica,224,80200,gasolina,mercedes_benz,nao,18430
26079,compacto,2012,manual,69,80400,gasolina,fiat,nao,6490
20608,limousine,2007,manual,65,125000,gasolina,fiat,nao,3520
69350,carrinha,2004,manual,147,125600,gasolina,opel,nao,2000
16352,cabrio,2007,manual,140,150000,diesel,audi,sim,5540
73169,limousine,2013,automatica,177,80400,diesel,audi,nao,30530
95180,cabrio,2002,manual,90,150900,diesel,volkswagen,nao,3870
33727,limousine,2001,manual,150,150200,gasolina,volkswagen,sim,1030
51214,kombi,2003,manual,140,150800,gasolina,outra,nao,1009
40556,limousine,2012,manual,105,150700,diesel,volkswagen,nao,9420
23513,compacto,2001,manual,54,150200,gasolina,opel,nao,610
34451,limousine,2001,automatica,163,150100,gasolina,mercedes_benz,nao,2780
14900,limousine,2008,automatica,349,125800,gasolina,audi,nao,25000
50843,kombi,2009,manual,239,150700,diesel,audi,nao,19470
44285,limousine,2007,manual,80,90200,gasolina,volkswagen,nao,5960
98654,compacto,2004,manual,70,150400,diesel,opel,sim,250
27734,compacto,2002,manual,80,150300,diesel,fiat,nao,1540
49079,kombi,2012,automatica,170,70200,diesel,mercedes_benz,nao,22050
94865,limousine,2005,manual,163,150500,gasolina,audi,nao,6510
51609,compacto,2008,manual,73,125700,gasolina,peugeot,nao,3910
5992,compacto,2002,manual,64,150300,gasolina,volkswagen,nao,1960
98234,carrinha,2013,manual,110,70600,diesel,renault,nao,11790
98157,compacto,2005,manual,69,125900,gasolina,ford,nao,2088
51332,suv,2013,automatica,231,70600,diesel,outra,nao,38910
74536,compacto,2003,manual,54,150800,gasolina,volkswagen,nao,1520
25036,compacto,2007,manual,77,150000,gasolina,fiat,nao,2760
22644,suv,2013,automatica,245,20300,diesel,volkswagen,nao,36009
49716,compacto,2011,manual,80,50700,gasolina,opel,nao,7250
11805,suv,2014,automatica,340,50700,diesel,outra,nao,86580
54982,compacto,2001,manual,60,20900,gasolina,outra,nao,360
81065,compacto,2006,manual,60,90000,gasolina,fiat,sim,1720
99752,outro,2001,manual,103,150400,diesel,mercedes_benz,nao,50
98600,suv,2006,manual,82,80500,gasolina,outra,nao,7049
48385,kombi,2002,manual,101,150900,diesel,volkswagen,nao,3019
87182,kombi,2004,manual,101,150400,diesel,volkswagen,nao,2280
3783,suv,2013,manual,140,70000,diesel,volkswagen,nao,8090
26210,kombi,2011,manual,140,150700,diesel,volkswagen,nao,7720
37718,suv,2007,manual,160,150500,diesel,outra,nao,5030
1498,limousine,2002,manual,116,150500,gasolina,outra,nao,1230
4177,kombi,2001,manual,133,150600,diesel,volkswagen,nao,2530
23556,limousine,2004,automatica,238,150400,diesel,mercedes_benz,nao,6590
65252,outro,2012,manual,90,100900,diesel,ford,nao,6570
8984,compacto,2010,manual,160,125000,gasolina,volkswagen,nao,9570
77482,compacto,2000,manual,60,150900,gasolina,outra,nao,949
72866,compacto,2005,manual,69,150500,diesel,opel,sim,980
21623,compacto,2002,manual,58,150900,gasolina,opel,sim,550
81644,kombi,2009,automatica,286,150800,diesel,bmw,nao,19980
85969,compacto,2001,manual,45,100700,gasolina,outra,nao,1540
74870,compacto,2003,manual,50,150500,gasolina,outra,nao,1260
50339,kombi,2004,automatica,180,150800,diesel,audi,nao,3790
57339,limousine,2008,manual,105,150500,diesel,volkswagen,sim,3960
26606,kombi,2002,manual,131,150400,gasolina,audi,nao,2839
31618,kombi,2012,automatica,170,100300,diesel,mercedes_benz,nao,19250
25795,limousine,2002,manual,118,150400,gasolina,bmw,nao,1640
75031,compacto,2011,manual,67,100400,gasolina,outra,nao,2850
86493,suv,2012,automatica,205,70100,diesel,outra,sim,23940
48204,limousine,2005,manual,140,150200,diesel,volkswagen,nao,4360
22354,carrinha,2005,manual,88,150800,diesel,volkswagen,nao,4329
