id,tipo,ano_registo,caixa,potencia,km,combustivel,marca,com_danos
64615,carrinha,2007,automatica,105,150600,diesel,volkswagen,nao
83338,carrinha,2007,manual,174,151000,diesel,volkswagen,nao
26411,compacto,2012,manual,75,100800,gasolina,outra,nao
62530,compacto,2002,manual,75,150300,gasolina,volkswagen,nao
11665,limousine,2010,manual,80,80500,gasolina,volkswagen,nao
49924,coupe,2014,automatica,71,40700,gasolina,outra,nao
76008,compacto,2008,manual,75,90900,gasolina,renault,nao
64433,limousine,2006,manual,116,150100,gasolina,bmw,nao
29534,cabrio,2000,manual,75,125400,gasolina,volkswagen,nao
5147,cabrio,2004,manual,125,125800,gasolina,opel,nao
38761,carrinha,2011,automatica,140,125100,diesel,volkswagen,sim
95016,limousine,2006,automatica,122,60700,diesel,mercedes_benz,nao
93157,coupe,2012,manual,170,60300,diesel,volkswagen,nao
4732,compacto,2001,manual,65,150500,diesel,volkswagen,nao
85309,compacto,2000,manual,60,150200,gasolina,volkswagen,nao
89575,kombi,2006,manual,150,90500,diesel,renault,nao
79720,suv,2009,automatica,170,150800,diesel,outra,sim
37177,compacto,2007,manual,80,125900,gasolina,opel,nao
10926,compacto,2000,manual,75,90000,gasolina,volkswagen,nao
82878,limousine,2008,manual,75,80100,gasolina,outra,nao
29405,compacto,2003,manual,58,150200,gasolina,opel,nao
27572,limousine,2010,automatica,140,125800,diesel,volkswagen,nao
65544,kombi,2007,manual,170,150800,diesel,audi,nao
79279,outro,2003,manual,192,150700,gasolina,bmw,nao
44565,kombi,2002,automatica,192,150600,gasolina,bmw,nao
21321,kombi,2010,automatica,239,150700,diesel,audi,nao
29420,carrinha,2007,manual,101,150600,diesel,renault,nao
25775,kombi,2001,manual,150,150000,gasolina,outra,nao
7707,kombi,2004,manual,116,150800,diesel,ford,nao
18326,carrinha,2003,manual,75,150100,diesel,outra,nao
61881,kombi,2011,manual,110,70000,diesel,volkswagen,nao
3137,limousine,2006,automatica,177,90200,gasolina,audi,nao
48944,limousine,2000,automatica,116,150400,diesel,mercedes_benz,nao
12201,compacto,2001,manual,60,150700,gasolina,volkswagen,nao
73928,kombi,2003,automatica,150,150000,gasolina,audi,nao
64893,kombi,2008,manual,170,150300,diesel,audi,nao
24821,compacto,2005,manual,69,150800,gasolina,ford,nao
38089,kombi,2004,automatica,143,150900,diesel,mercedes_benz,nao
64260,limousine,2011,manual,140,125800,diesel,audi,nao
64583,limousine,2008,manual,115,151000,gasolina,volkswagen,nao
86355,limousine,2001,manual,133,150000,gasolina,outra,nao
37908,limousine,2012,manual,235,70100,gasolina,volkswagen,nao
88714,carrinha,2000,manual,143,150200,gasolina,mercedes_benz,nao
26138,limousine,2005,manual,125,150000,gasolina,opel,nao
13103,compacto,2007,manual,60,80600,gasolina,opel,nao
12834,compacto,2005,manual,58,125800,gasolina,outra,nao
35462,limousine,2006,manual,218,150500,gasolina,bmw,nao
56008,limousine,2014,manual,105,70800,diesel,volkswagen,nao
56359,carrinha,2010,manual,140,150200,diesel,volkswagen,nao
98246,compacto,2009,manual,75,60700,gasolina,outra,nao
39224,compacto,2012,manual,122,40900,gasolina,outra,nao
49151,kombi,2010,automatica,105,150400,diesel,volkswagen,nao
98025,compacto,2000,manual,40,151000,gasolina,opel,nao
32290,limousine,2001,manual,101,150600,gasolina,opel,nao
73444,limousine,2003,manual,143,90600,gasolina,bmw,nao
13046,suv,2013,manual,110,126000,diesel,outra,nao
1256,limousine,2007,manual,129,60600,gasolina,bmw,nao
81087,kombi,2011,manual,69,90900,diesel,outra,nao
43393,coupe,2012,manual,122,70800,gasolina,volkswagen,nao
